id,country,year,gdp_growth,employment_thousands,sector
318,South Africa,2002,3.700374404066679,682.476,Transport services
319,South Africa,2002,3.700374404066679,1272.219970703125,Finance and business services
320,South Africa,2002,3.700374404066679,2467.722900390625,Other services
321,South Africa,2005,5.277051972954666,12859.3564453125,Total
322,South Africa,2005,5.277051972954666,905.652,Agriculture
323,South Africa,2005,5.277051972954666,497.354,Mining
324,South Africa,2005,5.277051972954666,2011.092,Manufacturing
325,South Africa,2005,5.277051972954666,129.222,Utilities
326,South Africa,2005,5.277051972954666,1027.829,Construction
327,South Africa,2005,5.277051972954666,3366.2099609375,Trade services
328,South Africa,2005,5.277051972954666,727.207,Transport services
329,South Africa,2005,5.277051972954666,1459.1109619140625,Finance and business services
330,South Africa,2005,5.277051972954666,2735.67919921875,Other services
331,South Africa,2001,2.70000000019104,12022.0302734375,Total
332,South Africa,2001,2.70000000019104,1168.987,Agriculture
333,South Africa,2001,2.70000000019104,644.276,Mining
334,South Africa,2001,2.70000000019104,1876.508,Manufacturing
335,South Africa,2001,2.70000000019104,111.482,Utilities
336,South Africa,2001,2.70000000019104,721.997,Construction
337,South Africa,2001,2.70000000019104,3221.715087890625,Trade services
338,South Africa,2001,2.70000000019104,655.334,Transport services
339,South Africa,2001,2.70000000019104,1195.404052734375,Finance and business services
340,South Africa,2001,2.70000000019104,2426.326904296875,Other services
341,South Africa,1997,2.6000000014634708,11037.64453125,Total
342,South Africa,1997,2.6000000014634708,1134.25,Agriculture
343,South Africa,1997,2.6000000014634708,582.482,Mining
344,South Africa,1997,2.6000000014634708,1710.322,Manufacturing
345,South Africa,1997,2.6000000014634708,96.235,Utilities
346,South Africa,1997,2.6000000014634708,665.567,Construction
347,South Africa,1997,2.6000000014634708,2654.225830078125,Trade services
348,South Africa,1997,2.6000000014634708,611.399,Transport services
349,South Africa,1997,2.6000000014634708,937.5759887695312,Finance and business services
350,South Africa,1997,2.6000000014634708,2645.587890625,Other services
351,South Africa,1992,-2.1370328450052085,9618.4921875,Total
352,South Africa,1992,-2.1370328450052085,1046.692752369038,Agriculture
353,South Africa,1992,-2.1370328450052085,559.7771134387514,Mining
354,South Africa,1992,-2.1370328450052085,1599.0159630871142,Manufacturing
355,South Africa,1992,-2.1370328450052085,76.01128927732444,Utilities
356,South Africa,1992,-2.1370328450052085,529.012068248144,Construction
357,South Africa,1992,-2.1370328450052085,2283.8368565235737,Trade services
358,South Africa,1992,-2.1370328450052085,520.7106803455024,Transport services
359,South Africa,1992,-2.1370328450052085,711.1772142394093,Finance and business services
360,South Africa,1992,-2.1370328450052085,2292.258390833434,Other services
361,South Africa,1994,3.20000000297172,10128.8056640625,Total
362,South Africa,1994,3.20000000297172,1080.562,Agriculture
363,South Africa,1994,3.20000000297172,541.407,Mining
364,South Africa,1994,3.20000000297172,1624.561,Manufacturing
365,South Africa,1994,3.20000000297172,83.451,Utilities
366,South Africa,1994,3.20000000297172,603.235,Construction
367,South Africa,1994,3.20000000297172,2411.8759765625,Trade services
368,South Africa,1994,3.20000000297172,557.14,Transport services
369,South Africa,1994,3.20000000297172,810.2109985351562,Finance and business services
370,South Africa,1994,3.20000000297172,2416.363037109375,Other services
371,South Africa,1996,4.299999997267918,10746.9990234375,Total
372,South Africa,1996,4.299999997267918,1118.029,Agriculture
373,South Africa,1996,4.299999997267918,569.458,Mining
374,South Africa,1996,4.299999997267918,1683.381,Manufacturing
375,South Africa,1996,4.299999997267918,91.966,Utilities
376,South Africa,1996,4.299999997267918,645.441,Construction
377,South Africa,1996,4.299999997267918,2575.014892578125,Trade services
378,South Africa,1996,4.299999997267918,594.035,Transport services
379,South Africa,1996,4.299999997267918,897.375,Finance and business services
380,South Africa,1996,4.299999997267918,2572.299072265625,Other services
381,South Africa,1998,0.50000000034143,11356.6162109375,Total
382,South Africa,1998,0.50000000034143,1154.778,Agriculture
383,South Africa,1998,0.50000000034143,599.568,Mining
384,South Africa,1998,0.50000000034143,1742.317,Manufacturing
385,South Africa,1998,0.50000000034143,99.675,Utilities
386,South Africa,1998,0.50000000034143,684.984,Construction
387,South Africa,1998,0.50000000034143,2746.5361328125,Trade services
388,South Africa,1998,0.50000000034143,631.096,Transport services
389,South Africa,1998,0.50000000034143,971.56396484375,Finance and business services
390,South Africa,1998,0.50000000034143,2726.09814453125,Other services
391,South Africa,1995,3.1000000005441137,10478.5830078125,Total
392,South Africa,1995,3.1000000005441137,1103.426,Agriculture
393,South Africa,1995,3.1000000005441137,558.789,Mining
394,South Africa,1995,3.1000000005441137,1669.599,Manufacturing
395,South Africa,1995,3.1000000005441137,86.871,Utilities
396,South Africa,1995,3.1000000005441137,626.022,Construction
397,South Africa,1995,3.1000000005441137,2502.303955078125,Trade services
398,South Africa,1995,3.1000000005441137,577.397,Transport services
399,South Africa,1995,3.1000000005441137,852.6900024414062,Finance and business services
400,South Africa,1995,3.1000000005441137,2501.485107421875,Other services
401,South Africa,1993,1.233557938647408,9796.0908203125,Total
402,South Africa,1993,1.233557938647408,1056.703,Agriculture
403,South Africa,1993,1.233557938647408,524.596,Mining
404,South Africa,1993,1.233557938647408,1585.222,Manufacturing
405,South Africa,1993,1.233557938647408,79.455,Utilities
406,South Africa,1993,1.233557938647408,580.727,Construction
407,South Africa,1993,1.233557938647408,2325.506103515625,Trade services
408,South Africa,1993,1.233557938647408,537.911,Transport services
409,South Africa,1993,1.233557938647408,771.1119995117188,Finance and business services
410,South Africa,1993,1.233557938647408,2334.85888671875,Other services
411,South Africa,1988,4.2001096483818685,8198.5615234375,Total
412,South Africa,1988,4.2001096483818685,1013.2854766699616,Agriculture
413,South Africa,1988,4.2001096483818685,553.6528859288761,Mining
414,South Africa,1988,4.2001096483818685,1554.9817197252444,Manufacturing
415,South Africa,1988,4.2001096483818685,63.871586400081895,Utilities
416,South Africa,1988,4.2001096483818685,501.377004639745,Construction
417,South Africa,1988,4.2001096483818685,1802.207577750143,Trade services
418,South Africa,1988,4.2001096483818685,449.2941290444462,Transport services
419,South Africa,1988,4.2001096483818685,484.6781974431345,Finance and business services
420,South Africa,1988,4.2001096483818685,1775.213145376153,Other services
421,South Africa,1989,2.3947951153840563,8615.634765625,Total
422,South Africa,1989,2.3947951153840563,1020.884004499212,Agriculture
423,South Africa,1989,2.3947951153840563,581.8410740069211,Mining
424,South Africa,1989,2.3947951153840563,1575.1933203722788,Manufacturing
425,South Africa,1989,2.3947951153840563,65.46438648309137,Utilities
426,South Africa,1989,2.3947951153840563,512.7962809948599,Construction
427,South Africa,1989,2.3947951153840563,1966.249817987152,Trade services
428,South Africa,1989,2.3947951153840563,472.2672382559732,Transport services
429,South Africa,1989,2.3947951153840563,535.1883005304344,Finance and business services
430,South Africa,1989,2.3947951153840563,1885.750667381256,Other services
431,South Africa,1979,3.7905192640578207,6298.0869140625,Total
432,South Africa,1979,3.7905192640578207,950.6246453901648,Agriculture
433,South Africa,1979,3.7905192640578207,459.226043877118,Mining
434,South Africa,1979,3.7905192640578207,1268.7686434472223,Manufacturing
435,South Africa,1979,3.7905192640578207,43.34173229323804,Utilities
436,South Africa,1979,3.7905192640578207,310.9804771700112,Construction
437,South Africa,1979,3.7905192640578207,1334.6489538127005,Trade services
438,South Africa,1979,3.7905192640578207,334.964833755288,Transport services
