REF_AREA_LABEL,TIME_PERIOD,GDP_Growth,Employment_Thousands,Sector
South Africa,2005,5.277051972954666,497.354,Sector: Mining
South Africa,2005,5.277051972954666,2011.092,Sector: Manufacturing
South Africa,2005,5.277051972954666,129.222,Sector: Utilities
South Africa,2005,5.277051972954666,1027.829,Sector: Construction
South Africa,2005,5.277051972954666,3366.2099609375,Sector: Trade services
South Africa,2005,5.277051972954666,727.207,Sector: Transport services
South Africa,2005,5.277051972954666,1459.1109619140625,Sector: Finance and business services
South Africa,2005,5.277051972954666,2735.67919921875,Sector: Other services
South Africa,2001,2.70000000019104,12022.0302734375,Sector: Total
South Africa,2001,2.70000000019104,1168.987,Sector: Agriculture
South Africa,2001,2.70000000019104,644.276,Sector: Mining
South Africa,2001,2.70000000019104,1876.508,Sector: Manufacturing
South Africa,2001,2.70000000019104,111.482,Sector: Utilities
South Africa,2001,2.70000000019104,721.997,Sector: Construction
South Africa,2001,2.70000000019104,3221.715087890625,Sector: Trade services
South Africa,2001,2.70000000019104,655.334,Sector: Transport services
South Africa,2001,2.70000000019104,1195.404052734375,Sector: Finance and business services
South Africa,2001,2.70000000019104,2426.326904296875,Sector: Other services
South Africa,1997,2.6000000014634708,11037.64453125,Sector: Total
South Africa,1997,2.6000000014634708,1134.25,Sector: Agriculture
South Africa,1997,2.6000000014634708,582.482,Sector: Mining
South Africa,1997,2.6000000014634708,1710.322,Sector: Manufacturing
South Africa,1997,2.6000000014634708,96.235,Sector: Utilities
South Africa,1997,2.6000000014634708,665.567,Sector: Construction
South Africa,1997,2.6000000014634708,2654.225830078125,Sector: Trade services
South Africa,1997,2.6000000014634708,611.399,Sector: Transport services
South Africa,1997,2.6000000014634708,937.5759887695312,Sector: Finance and business services
South Africa,1997,2.6000000014634708,2645.587890625,Sector: Other services
South Africa,1992,-2.1370328450052085,9618.4921875,Sector: Total
South Africa,1992,-2.1370328450052085,1046.692752369038,Sector: Agriculture
South Africa,1992,-2.1370328450052085,559.7771134387514,Sector: Mining
South Africa,1992,-2.1370328450052085,1599.0159630871142,Sector: Manufacturing
